OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus
Otu000001,109413,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified,unclassified
Otu000002,95307,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unclassified,unclassified
Otu000003,50611,Bacteria,Firmicutes,Bacilli,Bacillales,unclassified,unclassified
Otu000004,69737,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified,unclassified
Otu000005,42760,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,unclassified
Otu000006,15914,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
Otu000007,22595,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,unclassified
Otu000008,33563,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
Otu000009,9185,Bacteria,Firmicutes,Bacilli,Bacillales,Pasteuriaceae,Pasteuria
Otu000010,10446,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,unclassified
Otu000011,23563,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Otu000012,18035,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000013,25318,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000014,11940,Bacteria,Bacteroidetes,Bacteroidetes_incertae_sedis_class_incertae_sedis,Bacteroidetes_incertae_sedis_order_incertae_sedis,Bacteroidetes_incertae_sedis_family_incertae_sedis,Ohtaekwangia
Otu000015,7513,Bacteria,Proteobacteria,Betaproteobacteria,unclassified,unclassified,unclassified
Otu000016,5473,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,unclassified
Otu000017,4773,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella
Otu000018,6042,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,unclassified,unclassified
Otu000019,3988,Bacteria,Acidobacteria,Acidobacteria_Gp6,Acidobacteria_Gp6_order_incertae_sedis,Acidobacteria_Gp6_family_incertae_sedis,Gp6
Otu000020,5220,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera
Otu000021,15151,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu000022,6497,Bacteria,Verrucomicrobia,Spartobacteria,Spartobacteria_order_incertae_sedis,Spartobacteria_family_incertae_sedis,Spartobacteria_genera_incertae_sedis
Otu000023,3919,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000024,4300,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,unclassified
Otu000025,8190,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter
Otu000026,4488,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000027,6201,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,unclassified
Otu000028,5608,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,unclassified
Otu000029,4190,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
Otu000030,3791,Bacteria,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4
Otu000031,4904,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Steroidobacter
Otu000032,3226,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,unclassified
Otu000033,4085,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Otu000034,1781,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Parachlamydia
Otu000035,1297,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Otu000036,4815,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Shinella
Otu000037,1741,Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified,unclassified
Otu000038,1905,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000039,3438,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu000040,1744,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus
Otu000041,975,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu000042,1499,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,unclassified
Otu000043,1991,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu000044,2515,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia
Otu000045,6321,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unclassified
Otu000046,30755,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000047,1986,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus
Otu000048,2304,Bacteria,Verrucomicrobia,Spartobacteria,Spartobacteria_order_incertae_sedis,Spartobacteria_family_incertae_sedis,unclassified
Otu000049,1663,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000050,1055,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu000051,4550,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
Otu000052,1176,Bacteria,Acidobacteria,Acidobacteria_Gp16,Acidobacteria_Gp16_order_incertae_sedis,Acidobacteria_Gp16_family_incertae_sedis,Gp16
Otu000053,2754,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000054,1229,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu000055,1771,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,unclassified
Otu000056,5408,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu000057,1171,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
Otu000058,1530,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000059,1348,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae_1,Thermoactinomyces
Otu000060,32440,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000061,1110,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter
Otu000062,1826,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000063,2125,Bacteria,OD1,OD1_class_incertae_sedis,OD1_order_incertae_sedis,OD1_family_incertae_sedis,OD1_genus_incertae_sedis
Otu000064,771,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu000065,632,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000066,924,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000067,1615,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000068,1294,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000069,1142,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,unclassified
Otu000070,1527,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu000071,1598,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
Otu000072,1475,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000073,1809,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu000074,801,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000075,574,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000076,853,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Zavarzinella
Otu000077,711,Bacteria,unclassified,unclassified,unclassified,unclassified,unclassified
Otu000078,2525,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified,unclassified,unclassified
Otu000079,388,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium_III
Otu000080,1907,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Chryseobacterium
Otu000081,3381,Bacteria,Proteobacteria,unclassified,unclassified,unclassified,unclassified
Otu000082,476,Bacteria,Actinobacteria,Actinobacteria,unclassified,unclassified,unclassified
Otu000083,562,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified,unclassified,unclassified
Otu000084,586,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
Otu000085,656,Bacteria,Bacteroidetes,unclassified,unclassified,unclassified,unclassified
Otu000086,1667,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified
Otu000087,2043,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
Otu000088,1665,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,unclassified,unclassified
Otu000089,642,Bacteria,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
